"time","tankA.level_m","tankB.level_m","der(tankA.level_m)","der(tankB.level_m)","q_m3s","valve_open_cmd","zeroFlow.y","valveCommand.openCmd","connectingFlow.level_A_m","connectingFlow.level_B_m","connectingFlow.q_m3s","level_A_m","level_B_m","tankA.qIn_m3s","tankA.qOut_m3s","tankB.qIn_m3s","tankB.qOut_m3s","connectingFlow.openCmd"
14.1,0.5599725625112,0.2400274374888,-0.01599725625112,0.01599725625112,0.007998628125560001,1,0,1,0.5599725625112,0.2400274374888,0.007998628125560001,0.5599725625112,0.2400274374888,0,0.007998628125560001,0.007998628125560001,0,1
14.25,0.5575798352995495,0.2424201647004505,-0.01575798352995495,0.01575798352995495,0.007878991764977476,1,0,1,0.5575798352995495,0.2424201647004505,0.007878991764977476,0.5575798352995495,0.2424201647004505,0,0.007878991764977476,0.007878991764977476,0,1
14.4,0.5552244943415284,0.2447755056584716,-0.01552244943415284,0.01552244943415284,0.007761224717076422,1,0,1,0.5552244943415284,0.2447755056584716,0.007761224717076422,0.5552244943415284,0.2447755056584716,0,0.007761224717076422,0.007761224717076422,0,1
14.55,0.5529059796922303,0.2470940203077696,-0.01529059796922304,0.01529059796922304,0.007645298984611518,1,0,1,0.5529059796922303,0.2470940203077696,0.007645298984611518,0.5529059796922303,0.2470940203077696,0,0.007645298984611518,0.007645298984611518,0,1
14.7,0.5506237314067488,0.2493762685932512,-0.01506237314067489,0.01506237314067489,0.007531186570337443,1,0,1,0.5506237314067488,0.2493762685932512,0.007531186570337443,0.5506237314067488,0.2493762685932512,0,0.007531186570337443,0.007531186570337443,0,1
14.85,0.5483771895401776,0.2516228104598225,-0.01483771895401775,0.01483771895401775,0.007418859477008877,1,0,1,0.5483771895401776,0.2516228104598225,0.007418859477008877,0.5483771895401776,0.2516228104598225,0,0.007418859477008877,0.007418859477008877,0,1
15,0.54616579414761,0.2538342058523899,-0.01461657941476101,0.01461657941476101,0.007308289707380503,1,0,1,0.54616579414761,0.2538342058523899,0.007308289707380503,0.54616579414761,0.2538342058523899,0,0.007308289707380503,0.007308289707380503,0,1
15.15,0.54398898528414,0.25601101471586,-0.014398898528414,0.014398898528414,0.007199449264206999,1,0,1,0.54398898528414,0.25601101471586,0.007199449264206999,0.54398898528414,0.25601101471586,0,0.007199449264206999,0.007199449264206999,0,1
15.3,0.541846203004861,0.258153796995139,-0.0141846203004861,0.0141846203004861,0.007092310150243051,1,0,1,0.541846203004861,0.258153796995139,0.007092310150243051,0.541846203004861,0.258153796995139,0,0.007092310150243051,0.007092310150243051,0,1
15.45,0.5397368873648666,0.2602631126351333,-0.01397368873648666,0.01397368873648666,0.006986844368243332,1,0,1,0.5397368873648666,0.2602631126351333,0.006986844368243332,0.5397368873648666,0.2602631126351333,0,0.006986844368243332,0.006986844368243332,0,1
15.6,0.5376604784192505,0.2623395215807494,-0.01376604784192505,0.01376604784192505,0.006883023920962527,1,0,1,0.5376604784192505,0.2623395215807494,0.006883023920962527,0.5376604784192505,0.2623395215807494,0,0.006883023920962527,0.006883023920962527,0,1
15.75,0.5356164162231062,0.2643835837768937,-0.01356164162231062,0.01356164162231062,0.006780820811155311,1,0,1,0.5356164162231062,0.2643835837768937,0.006780820811155311,0.5356164162231062,0.2643835837768937,0,0.006780820811155311,0.006780820811155311,0,1
15.9,0.5336041408315273,0.2663958591684726,-0.01336041408315274,0.01336041408315274,0.006680207041576368,1,0,1,0.5336041408315273,0.2663958591684726,0.006680207041576368,0.5336041408315273,0.2663958591684726,0,0.006680207041576368,0.006680207041576368,0,1
16.05,0.5316230922996076,0.2683769077003924,-0.01316230922996076,0.01316230922996076,0.006581154614980381,1,0,1,0.5316230922996076,0.2683769077003924,0.006581154614980381,0.5316230922996076,0.2683769077003924,0,0.006581154614980381,0.006581154614980381,0,1
16.2,0.5296727106824406,0.2703272893175594,-0.01296727106824406,0.01296727106824406,0.00648363553412203,1,0,1,0.5296727106824406,0.2703272893175594,0.00648363553412203,0.5296727106824406,0.2703272893175594,0,0.00648363553412203,0.00648363553412203,0,1
16.35,0.5277524360351198,0.2722475639648802,-0.01277524360351198,0.01277524360351198,0.00638762180175599,1,0,1,0.5277524360351198,0.2722475639648802,0.00638762180175599,0.5277524360351198,0.2722475639648802,0,0.00638762180175599,0.00638762180175599,0,1
16.5,0.525861893209934,0.2741381067900659,-0.01258618932099341,0.01258618932099341,0.006293094660496704,1,0,1,0.525861893209934,0.2741381067900659,0.006293094660496704,0.525861893209934,0.2741381067900659,0,0.006293094660496704,0.006293094660496704,0,1
16.65,0.5240011172905743,0.2759988827094256,-0.01240011172905744,0.01240011172905744,0.006200055864528719,1,0,1,0.5240011172905743,0.2759988827094256,0.006200055864528719,0.5240011172905743,0.2759988827094256,0,0.006200055864528719,0.006200055864528719,0,1
16.8,0.5221689098305564,0.2778310901694436,-0.01221689098305564,0.01221689098305564,0.006108445491527822,1,0,1,0.5221689098305564,0.2778310901694436,0.006108445491527822,0.5221689098305564,0.2778310901694436,0,0.006108445491527822,0.006108445491527822,0,1
16.95,0.5203647181645914,0.2796352818354084,-0.01203647181645915,0.01203647181645915,0.006018235908229575,1,0,1,0.5203647181645914,0.2796352818354084,0.006018235908229575,0.5203647181645914,0.2796352818354084,0,0.006018235908229575,0.006018235908229575,0,1
17.1,0.5185879896273905,0.2814120103726093,-0.01185879896273906,0.01185879896273906,0.005929399481369529,1,0,1,0.5185879896273905,0.2814120103726093,0.005929399481369529,0.5185879896273905,0.2814120103726093,0,0.005929399481369529,0.005929399481369529,0,1
