"time","fanRotor.fan_speed_rad_s","der(fanRotor.fan_speed_rad_s)","aerodynamicLoad.T_aero_Nm","bearingFriction.T_friction_Nm","fanRotor.domega_dt","motor_on_cmd","motor_torque_Nm","torque_balance_residual_Nm","motorCommand.motor_on_cmd","aerodynamicLoad.omega_rad_s","bearingFriction.omega_rad_s","fanRotor.T_aero_Nm","fanRotor.T_friction_Nm","fanRotor.motor_torque_Nm","fan_speed_rad_s","motorCommand.motor_torque_Nm"
5.34,7.681311452748628,19.97929336094314,0.0236010182536509,0.07681311452748628,19.97929336094314,1,0.5,0.3995858672188628,1,7.681311452748628,7.681311452748628,0.0236010182536509,0.07681311452748628,0.5,7.681311452748628,0.5
5.4,8.850951777166367,19.00773716418233,0.03133573894468979,0.08850951777166367,19.00773716418233,1,0.5,0.3801547432836466,1,8.850951777166367,8.850951777166367,0.03133573894468979,0.08850951777166367,0.5,8.850951777166367,0.5
5.46,9.962193457370596,18.03399730167315,0.039698119392831,0.09962193457370595,18.03399730167315,1,0.5,0.360679946033463,1,9.962193457370596,9.962193457370596,0.039698119392831,0.09962193457370595,0.5,9.962193457370596,0.5
5.52,11.0151403066318,17.06576352718841,0.04853332638991383,0.110151403066318,17.06576352718841,1,0.5,0.3413152705437681,1,11.0151403066318,11.0151403066318,0.04853332638991383,0.110151403066318,0.5,11.0151403066318,0.5
5.58,12.01033270007179,16.10987181863583,0.05769923662656552,0.1201033270007179,16.10987181863583,1,0.5,0.3221974363727166,1,12.01033270007179,12.01033270007179,0.05769923662656552,0.1201033270007179,0.5,12.01033270007179,0.5
5.64,12.94869168788524,15.17228182749921,0.06706744657116331,0.1294869168788524,15.17228182749921,1,0.5,0.3034456365499843,1,12.94869168788524,12.94869168788524,0.06706744657116331,0.1294869168788524,0.5,12.94869168788524,0.5
5.7,13.83147452708394,14.25806898459059,0.07652387503734881,0.1383147452708395,14.25806898459059,1,0.5,0.2851613796918118,1,13.83147452708394,13.83147452708394,0.07652387503734881,0.1383147452708395,0.5,13.83147452708394,0.5
5.76,14.66021177046229,13.37145793167284,0.08596872366192039,0.1466021177046229,13.37145793167284,1,0.5,0.2674291586334568,1,14.66021177046229,14.66021177046229,0.08596872366192039,0.1466021177046229,0.5,14.66021177046229,0.5
5.82,15.43667066664665,12.51584864126649,0.09531632050820367,0.1543667066664665,12.51584864126649,1,0.5,0.2503169728253298,1,15.43667066664665,15.43667066664665,0.09531632050820367,0.1543667066664665,0.5,15.43667066664665,0.5
5.88,16.16278798251397,11.69389170138905,0.1044942861470792,0.1616278798251397,11.69389170138905,1,0.5,0.2338778340277811,1,16.16278798251397,16.16278798251397,0.1044942861470792,0.1616278798251397,0.5,16.16278798251397,0.5
5.94,16.84064589661017,10.90752996739465,0.1134429416860052,0.1684064589661017,10.90752996739465,1,0.5,0.218150599347893,1,16.84064589661017,16.84064589661017,0.1134429416860052,0.1684064589661017,0.5,16.84064589661017,0.5
6,17.47242450569636,10.15807538500665,0.1221142472429034,0.1747242450569636,10.15807538500665,1,0.5,0.203161507700133,1,17.47242450569636,17.47242450569636,0.1221142472429034,0.1747242450569636,0.5,17.47242450569636,0.5
6.06,18.06036600683466,9.446280590566097,0.1304707281203315,0.1806036600683465,9.446280590566097,1,0.5,0.1889256118113219,1,18.06036600683466,18.06036600683466,0.1304707281203315,0.1806036600683465,0.5,18.06036600683466,0.5
6.12,18.6067394881661,8.772415168307361,0.1384843017521918,0.186067394881661,8.772415168307361,1,0.5,0.1754483033661472,1,18.6067394881661,18.6067394881661,0.1384843017521918,0.186067394881661,0.5,18.6067394881661,0.5
6.18,19.11381722121973,8.136331214066214,0.1461352035064784,0.1911381722121973,8.136331214066214,1,0.5,0.1627266242813243,1,19.11381722121973,19.11381722121973,0.1461352035064784,0.1911381722121973,0.5,19.11381722121973,0.5
6.24,19.58385042001686,7.537530844519681,0.1534108789094378,0.1958385042001686,7.537530844519681,1,0.5,0.1507506168903936,1,19.58385042001686,19.58385042001686,0.1534108789094378,0.1958385042001686,0.5,19.58385042001686,0.5
6.3,20.01905471126118,6.975221613720047,0.1603050206129873,0.2001905471126118,6.975221613720047,1,0.5,0.1395044322744009,1,20.01905471126118,20.01905471126118,0.1603050206129873,0.2001905471126118,0.5,20.01905471126118,0.5
6.36,20.4215888535607,6.448379747142158,0.1668165165215498,0.204215888535607,6.448379747142158,1,0.5,0.1289675949428432,1,20.4215888535607,20.4215888535607,0.1668165165215498,0.204215888535607,0.5,20.4215888535607,0.5
6.42,20.79354791398681,5.955793345981284,0.1729486539405062,0.2079354791398682,5.955793345981284,1,0.5,0.1191158669196257,1,20.79354791398681,20.79354791398681,0.1729486539405062,0.2079354791398682,0.5,20.79354791398681,0.5
6.48,21.13694490556249,5.496118748403076,0.1787081759763136,0.2113694490556249,5.496118748403076,1,0.5,0.1099223749680615,1,21.13694490556249,21.13694490556249,0.1787081759763136,0.2113694490556249,0.5,21.13694490556249,0.5
6.54,21.45371448657032,5.067905451289296,0.1841047461085109,0.2145371448657032,5.067905451289296,1,0.5,0.1013581090257859,1,21.45371448657032,21.45371448657032,0.1841047461085109,0.2145371448657032,0.5,21.45371448657032,0.5
6.6,21.74569499594572,4.669647484893169,0.1891501003426794,0.2174569499594572,4.669647484893169,1,0.5,0.09339294969786338,1,21.74569499594572,21.74569499594572,0.1891501003426794,0.2174569499594572,0.5,21.74569499594572,0.5
6.66,22.01464237373287,4.299789236266465,0.193857791537342,0.2201464237373287,4.299789236266465,1,0.5,0.08599578472532929,1,22.01464237373287,22.01464237373287,0.193857791537342,0.2201464237373287,0.5,22.01464237373287,0.5
6.72,22.26220779710359,3.956778181419809,0.1982423584005679,0.2226220779710359,3.956778181419809,1,0.5,0.07913556362839619,1,22.26220779710359,22.26220779710359,0.1982423584005679,0.2226220779710359,0.5,22.26220779710359,0.5
6.78,22.48996289872266,3.639049926920235,0.2023193724743687,0.2248996289872266,3.639049926920235,1,0.5,0.0727809985384047,1,22.48996289872266,22.48996289872266,0.2023193724743687,0.2248996289872266,0.5,22.48996289872266,0.5
6.84,22.69936545322846,3.345093433801337,0.2061044767916887,0.2269936545322846,3.345093433801337,1,0.5,0.06690186867602674,1,22.69936545322846,22.69936545322846,0.2061044767916887,0.2269936545322846,0.5,22.69936545322846,0.5
6.9,22.8918057566834,3.073401705623829,0.2096139083206894,0.228918057566834,3.073401705623829,1,0.5,0.06146803411247659,1,22.8918057566834,22.8918057566834,0.2096139083206894,0.228918057566834,0.5,22.8918057566834,0.5
6.96,23.06857801493604,2.822525159908171,0.2128637166524762,0.2306857801493604,2.822525159908171,1,0.5,0.05645050319816342,1,23.06857801493604,23.06857801493604,0.2128637166524762,0.2306857801493604,0.5,23.06857801493604,0.5
7.02,23.230891950478,2.591067208465335,0.2158697363259134,0.23230891950478,2.591067208465335,1,0.5,0.0518213441693067,1,23.230891950478,23.230891950478,0.2158697363259134,0.23230891950478,0.5,23.230891950478,0.5
7.08,23.3798693829553,2.377699461241338,0.2186473169456203,0.233798693829553,2.377699461241338,1,0.5,0.04755398922482676,1,23.3798693829553,23.3798693829553,0.2186473169456203,0.233798693829553,0.5,23.3798693829553,0.5
7.14,23.51655566470281,2.181154361027281,0.2212113561324263,0.2351655566470281,2.181154361027281,1,0.5,0.04362308722054561,1,23.51655566470281,23.51655566470281,0.2212113561324263,0.2351655566470281,0.5,23.51655566470281,0.5
7.2,23.6419223340118,2.000229000045178,0.2235761966589784,0.236419223340118,2.000229000045178,1,0.5,0.04000458000090357,1,23.6419223340118,23.6419223340118,0.2235761966589784,0.236419223340118,0.5,23.6419223340118,0.5
7.26,23.75687144622517,1.833785458638036,0.2257555763649876,0.2375687144622517,1.833785458638036,1,0.5,0.03667570917276072,1,23.75687144622517,23.75687144622517,0.2257555763649876,0.2375687144622517,0.5,23.75687144622517,0.5
7.32,23.86223671770362,1.680754817713727,0.2277625364686892,0.2386223671770362,1.680754817713727,1,0.5,0.03361509635427454,1,23.86223671770362,23.86223671770362,0.2277625364686892,0.2386223671770362,0.5,23.86223671770362,0.5
7.38,23.95879631170585,1.540123430030871,0.229609568282324,0.2395879631170585,1.540123430030871,1,0.5,0.03080246860061742,1,23.95879631170585,23.95879631170585,0.229609568282324,0.2395879631170585,0.5,23.95879631170585,0.5
7.44,24.04727067821986,1.410940119458608,0.2313084908286292,0.2404727067821986,1.410940119458608,1,0.5,0.02821880238917215,1,24.04727067821986,24.04727067821986,0.2313084908286292,0.2404727067821986,0.5,24.04727067821986,0.5
7.5,24.12831735162049,1.292327359779542,0.2328702792882042,0.2412831735162049,1.292327359779542,1,0.5,0.02584654719559085,1,24.12831735162049,24.12831735162049,0.2328702792882042,0.2412831735162049,0.5,24.12831735162049,0.5
7.56,24.20254729800042,1.183460436760843,0.2343053182847789,0.2420254729800042,1.183460436760843,1,0.5,0.02366920873521686,1,24.20254729800042,24.20254729800042,0.2343053182847789,0.2420254729800042,0.5,24.20254729800042,0.5
7.62,24.27051442344575,1.083585380703356,0.2356231481514753,0.2427051442344575,1.083585380703356,1,0.5,0.02167170761406711,1,24.27051442344575,24.27051442344575,0.2356231481514753,0.2427051442344575,0.5,24.27051442344575,0.5
7.68,24.33274409646686,0.9919792464837109,0.2368329741056572,0.2433274409646686,0.9919792464837109,1,0.5,0.01983958492967422,1,24.33274409646686,24.33274409646686,0.2368329741056572,0.2433274409646686,0.5,24.33274409646686,0.5
7.74,24.38970929540009,0.9079869620174471,0.2379431678056502,0.2438970929540009,0.9079869620174471,1,0.5,0.01815973924034894,1,24.38970929540009,24.38970929540009,0.2379431678056502,0.2438970929540009,0.5,24.38970929540009,0.5
7.8,24.44184825646485,0.8309969479264919,0.2389615784768216,0.2444184825646485,0.8309969479264919,1,0.5,0.01661993895852984,1,24.44184825646485,24.44184825646485,0.2389615784768216,0.2444184825646485,0.5,24.44184825646485,0.5
7.86,24.48956251195187,0.7604453034880915,0.2398954688107194,0.2448956251195187,0.7604453034880915,1,0.5,0.01520890606976183,1,24.48956251195187,24.48956251195187,0.2398954688107194,0.2448956251195187,0.5,24.48956251195187,0.5
7.92,24.53322449641636,0.6958056679605403,0.2407516416766256,0.2453322449641636,0.6958056679605403,1,0.5,0.01391611335921081,1,24.53322449641636,24.53322449641636,0.2407516416766256,0.2453322449641636,0.5,24.53322449641636,0.5
7.98,24.57317555161672,0.6365930903801637,0.2415363826762295,0.2457317555161672,0.6365930903801637,1,0.5,0.01273186180760327,1,24.57317555161672,24.57317555161672,0.2415363826762295,0.2457317555161672,0.5,24.57317555161672,0.5
8.039999999999999,24.60972530042104,0.5823657625458112,0.2422554317448734,0.2460972530042104,0.5823657625458112,1,0.5,0.01164731525091622,1,24.60972530042104,24.60972530042104,0.2422554317448734,0.2460972530042104,0.5,24.60972530042104,0.5
8.1,24.64315906781058,0.5327146892664183,0.2429141155365659,0.2464315906781058,0.5327146892664183,1,0.5,0.01065429378532837,1,24.64315906781058,24.64315906781058,0.2429141155365659,0.2464315906781058,0.5,24.64315906781058,0.5
8.16,24.67373844113166,0.4872634062066006,0.2435173474645513,0.2467373844113166,0.4872634062066006,1,0.5,0.009745268124132012,1,24.67373844113166,24.67373844113166,0.2435173474645513,0.2467373844113166,0.5,24.67373844113166,0.5
8.220000000000001,24.70170745096512,0.4456592546561305,0.2440697403972262,0.2470170745096512,0.4456592546561305,1,0.5,0.008913185093122611,1,24.70170745096512,24.70170745096512,0.2440697403972262,0.2470170745096512,0.5,24.70170745096512,0.5
8.279999999999999,24.72728539356159,0.4075844445263113,0.2445754571738578,0.247272853935616,0.4075844445263113,1,0.5,0.008151688890526226,1,24.72728539356159,24.72728539356159,0.2445754571738578,0.247272853935616,0.5,24.72728539356159,0.5
8.34,24.75067783607887,0.3727400150532453,0.2450384213381464,0.2475067783607887,0.3727400150532453,1,0.5,0.007454800301064907,1,24.75067783607887,24.75067783607887,0.2450384213381464,0.2475067783607887,0.5,24.75067783607887,0.5
8.4,24.7720703865568,0.3408553819911148,0.2454621884946097,0.247720703865568,0.3408553819911148,1,0.5,0.006817107639822295,1,24.7720703865568,24.7720703865568,0.2454621884946097,0.247720703865568,0.5,24.7720703865568,0.5
8.460000000000001,24.79163284010127,0.311682402381612,0.2458500235513551,0.2479163284010127,0.311682402381612,1,0.5,0.00623364804763224,1,24.79163284010127,24.79163284010127,0.2458500235513551,0.2479163284010127,0.5,24.79163284010127,0.5
8.52,24.80952168401227,0.2849918342043553,0.2462049464757901,0.2480952168401228,0.2849918342043553,1,0.5,0.005699836684087106,1,24.80952168401227,24.80952168401227,0.2462049464757901,0.2480952168401228,0.5,24.80952168401227,0.5
8.58,24.82587742395749,0.2605774906340119,0.2465296759477449,0.2482587742395749,0.2605774906340119,1,0.5,0.005211549812680238,1,24.82587742395749,24.82587742395749,0.2465296759477449,0.2482587742395749,0.5,24.82587742395749,0.5
8.640000000000001,24.84083203497702,0.2382452587126729,0.2468267744759763,0.2484083203497702,0.2382452587126729,1,0.5,0.004764905174253459,1,24.84083203497702,24.84083203497702,0.2468267744759763,0.2484083203497702,0.5,24.84083203497702,0.5
8.699999999999999,24.85450452798529,0.2178198293745187,0.2470985581326566,0.248545045279853,0.2178198293745187,1,0.5,0.004356396587490374,1,24.85450452798529,24.85450452798529,0.2470985581326566,0.248545045279853,0.5,24.85450452798529,0.5
8.76,24.86700475730761,0.1991391093470102,0.2473471702399837,0.2486700475730761,0.1991391093470102,1,0.5,0.003982782186940204,1,24.86700475730761,24.86700475730761,0.2473471702399837,0.2486700475730761,0.5,24.86700475730761,0.5
8.82,24.87843278858835,0.1820552453796601,0.2475745672065232,0.2487843278858835,0.1820552453796601,1,0.5,0.003641104907593201,1,24.87843278858835,24.87843278858835,0.2475745672065232,0.2487843278858835,0.5,24.87843278858835,0.5
8.880000000000001,24.88888058429037,0.1664321730734913,0.2477825506956264,0.2488888058429037,0.1664321730734913,1,0.5,0.003328643461469827,1,24.88888058429037,24.88888058429037,0.2477825506956264,0.2488888058429037,0.5,24.88888058429037,0.5
8.94,24.89843174723549,0.1521460569473679,0.2479727613886977,0.2489843174723549,0.1521460569473679,1,0.5,0.003042921138947358,1,24.89843174723549,24.89843174723549,0.2479727613886977,0.2489843174723549,0.5,24.89843174723549,0.5
9,24.90716295142106,0.1390831985166374,0.2481467065154567,0.2490716295142106,0.1390831985166374,1,0.5,0.002781663970332748,1,24.90716295142106,24.90716295142106,0.2481467065154567,0.2490716295142106,0.5,24.90716295142106,0.5
9.06,24.9151442719352,0.1271395822054822,0.2483057656365383,0.2491514427193521,0.1271395822054822,1,0.5,0.002542791644109643,1,24.9151442719352,24.9151442719352,0.2483057656365383,0.2491514427193521,0.5,24.9151442719352,0.5
9.119999999999999,24.92243969929415,0.1162201390538631,0.2484512002259812,0.2492243969929415,0.1162201390538631,1,0.5,0.002324402781077262,1,24.92243969929415,24.92243969929415,0.2484512002259812,0.2492243969929415,0.5,24.92243969929415,0.5
9.18,24.92910801410331,0.1062374653717529,0.2485841705515319,0.2492910801410331,0.1062374653717529,1,0.5,0.002124749307435059,1,24.92910801410331,24.92910801410331,0.2485841705515319,0.2492910801410331,0.5,24.92910801410331,0.5
9.24,24.93520331683002,0.09711105255198055,0.2487057457806603,0.2493520331683002,0.09711105255198055,1,0.5,0.001942221051039611,1,24.93520331683002,24.93520331683002,0.2487057457806603,0.2493520331683002,0.5,24.93520331683002,0.5
9.300000000000001,24.94077386556849,0.08876904694727072,0.2488168804053697,0.2494077386556849,0.08876904694727072,1,0.5,0.001775380938945414,1,24.94077386556849,24.94077386556849,0.2488168804053697,0.2494077386556849,0.5,24.94077386556849,0.5
9.359999999999999,24.94586519794968,0.08114359153962025,0.2489184761897108,0.2494586519794968,0.08114359153962025,1,0.5,0.001622871830792405,1,24.94586519794968,24.94586519794968,0.2489184761897108,0.2494586519794968,0.5,24.94586519794968,0.5
9.42,24.95051908428308,0.07417240635498173,0.2490113610300696,0.2495051908428308,0.07417240635498173,1,0.5,0.001483448127099635,1,24.95051908428308,24.95051908428308,0.2490113610300696,0.2495051908428308,0.5,24.95051908428308,0.5
9.48,24.95477253654121,0.06780028471916333,0.2490962689402046,0.2495477253654121,0.06780028471916333,1,0.5,0.001356005694383267,1,24.95477253654121,24.95477253654121,0.2490962689402046,0.2495477253654121,0.5,24.95477253654121,0.5
9.539999999999999,24.9586598278734,0.06197607799326987,0.2491738801614006,0.249586598278734,0.06197607799326987,1,0.5,0.001239521559865397,1,24.9586598278734,24.9586598278734,0.2491738801614006,0.249586598278734,0.5,24.9586598278734,0.5
9.6,24.96221345810175,0.05665125639240792,0.2492448402911344,0.2496221345810175,0.05665125639240792,1,0.5,0.001133025127848158,1,24.96221345810175,24.96221345810175,0.2492448402911344,0.2496221345810175,0.5,24.96221345810175,0.5
9.66,24.965462203387,0.05178283773160236,0.2493097212114979,0.24965462203387,0.05178283773160236,1,0.5,0.001035656754632047,1,24.965462203387,24.965462203387,0.2493097212114979,0.24965462203387,0.5,24.965462203387,0.5
